failure_mode,vehicle_id,length_of_study_time_step,in_study_repair,Spec_0,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7,severity_anomaly_at_end,severity_signed_at_end,severity_pctdev_at_end,first_flag_time_step,lead_time,detected_within_lookback
component_x,0,510.0,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,0.2074670831039562,-0.040860092323473735,37.752445,84.4,425.5999984741211,False
component_x,2,281.8,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,1.3079725406794194,1.0800430177822984,189.43312,,,False
component_x,3,293.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7052123332403397,0.5859662379619647,44.287277,,,False
component_x,4,210.0,0,Cat0,Cat0,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1,0.883914384184497,0.799180356752979,83.03028,,,False
component_x,5,360.4,0,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1,1.0841765888743573,1.035082233368995,88.45581,,,False
component_x,8,288.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.3759941815644295,-0.09434619458529551,56.486805,,,False
component_x,13,155.4,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.5182058248563685,0.30374463351507525,41.338062,,,False
component_x,14,433.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,0.6982476510815726,0.4772241863012332,100.65391,80.4,353.1999984741211,False
component_x,15,291.2,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.24704509185780577,-0.07481285408180872,27.575623,134.2,157.0000030517578,False
component_x,17,436.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.8220160407107744,0.6315149185912164,49.97579,,,False
component_x,22,190.8,1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,0.36636965448591896,0.13450201606051662,33.05555,,,False
component_x,25,320.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat0,1.8568033323587259,-1.720647484011072,77.51618,,,False
component_x,26,281.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.0809341982816203,0.8808089174812147,147.91237,51.0,230.39999999999998,False
component_x,27,354.6,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.0949314527484537,0.8449992737632459,114.52361,,,False
component_x,28,239.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.7438237716809806,0.7230587752211016,124.42161,237.4,2.0000061035156307,True
component_x,29,425.2,1,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7833068231189283,-0.2353279334920977,57.058025,,,False
component_x,30,496.6,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,0.9832424035313893,0.9832424035313893,76.97467,416.2,80.39998779296877,False
component_x,31,487.8,0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,0.8132005327957023,-0.8132005327957023,58.99832,358.2,129.59998779296876,False
component_x,32,152.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,0.6905906478862204,0.21582970859091652,66.05462,,,False
component_x,33,501.2,0,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat2,Cat1,1.6154004001917024,-0.0023897392378620097,146.86755,199.4,301.8000061035156,False
component_x,35,167.2,0,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,1.2738369684307205,0.8498879645883987,143.51135,,,False
component_x,36,484.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.261693134382113,-0.05767381966588514,35.765858,,,False
component_x,37,460.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,0.47621726344830706,-0.36972062434739295,39.128445,,,False
component_x,38,479.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.727559720515058,-0.35706566358993613,79.29423,,,False
component_x,39,436.8,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,1.1755274007257024,0.5165167051674026,68.891594,86.8,349.9999969482422,False
component_x,40,428.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat1,Cat0,0.296872118935155,-0.2271377507229451,28.811502,54.8,373.60000076293943,False
component_x,41,151.6,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.6183855500835904,0.047763139349169474,38.968388,,,False
component_x,42,482.2,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.29917334408042245,-0.0048618658706804894,19.874918,,,False
component_x,43,285.4,0,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,0.7878541951683374,-0.6109360630992752,50.460102,,,False
